0.996802,0.0799147,0,0,-0.0799147,0.996802,0,0,0,0,1,0,0,0,0,1|-3.31912e-06,-3.8977e-06,1,0,-0.996802,-0.0799147,-3.61999e-06,0,0.0799147,-0.996802,-3.61999e-06,0,0,0,0,1|-3.31912e-06,-3.8977e-06,1,0,0.0799183,-0.996801,-3.61998e-06,0,0.996801,0.0799183,3.62e-06,0,0,0,0,1|-3.31912e-06,-3.8977e-06,1,0,0.0799183,-0.996801,-3.61998e-06,0,0.996801,0.0799183,3.62e-06,0,0.2492,0.0199796,9.05001e-07,1|-3.31912e-06,-3.8977e-06,1,0,0.996801,0.0799219,3.62002e-06,0,-0.0799219,0.996801,3.61996e-06,0,0.2492,0.0199796,9.05001e-07,1|-3.31912e-06,-3.8977e-06,1,0,0.996801,0.0799219,3.62002e-06,0,-0.0799219,0.996801,3.61996e-06,0,0.22922,0.26918,1.80999e-06,1||
0.682221,0.731146,0,0,-0.731146,0.682221,0,0,0,0,1,0,0,0,0,1|1.77105e-07,-5.11637e-06,1,0,-0.682221,-0.731146,-3.61999e-06,0,0.731146,-0.682221,-3.61999e-06,0,0,0,0,1|1.77105e-07,-5.11637e-06,1,0,0.731148,-0.682219,-3.61998e-06,0,0.682219,0.731148,3.62e-06,0,0,0,0,1|1.77105e-07,-5.11637e-06,1,0,0.731148,-0.682219,-3.61998e-06,0,0.682219,0.731148,3.62e-06,0,0.170555,0.182787,9.05001e-07,1|1.77105e-07,-5.11637e-06,1,0,0.682216,0.731151,3.62002e-06,0,-0.731151,0.682216,3.61996e-06,0,0.170555,0.182787,9.05001e-07,1|1.77105e-07,-5.11637e-06,1,0,0.682216,0.731151,3.62002e-06,0,-0.731151,0.682216,3.61996e-06,0,-0.0122329,0.353341,1.80999e-06,1||
0.0507753,0.99871,0,0,-0.99871,0.0507753,0,0,0,0,1,0,0,0,0,1|3.43151e-06,-3.79913e-06,1,0,-0.0507753,-0.99871,-3.61999e-06,0,0.99871,-0.0507753,-3.61999e-06,0,0,0,0,1|3.43151e-06,-3.79913e-06,1,0,0.99871,-0.0507717,-3.61998e-06,0,0.0507717,0.99871,3.62e-06,0,0,0,0,1|3.43151e-06,-3.79913e-06,1,0,0.99871,-0.0507717,-3.61998e-06,0,0.0507717,0.99871,3.62e-06,0,0.0126929,0.249678,9.05001e-07,1|3.43151e-06,-3.79913e-06,1,0,0.0507681,0.99871,3.62002e-06,0,-0.99871,0.0507681,3.61996e-06,0,0.0126929,0.249678,9.05001e-07,1|3.43151e-06,-3.79913e-06,1,0,0.0507681,0.99871,3.62002e-06,0,-0.99871,0.0507681,3.61996e-06,0,-0.236985,0.26237,1.80999e-06,1||
-0.572213,0.820105,0,0,-0.820105,-0.572213,0,0,0,0,1,0,0,0,0,1|5.04018e-06,-8.97364e-07,1,0,0.572213,-0.820105,-3.61999e-06,0,0.820105,0.572213,-3.61999e-06,0,0,0,0,1|5.04018e-06,-8.97364e-07,1,0,0.820103,0.572216,-3.61998e-06,0,-0.572216,0.820103,3.62e-06,0,0,0,0,1|5.04018e-06,-8.97364e-07,1,0,0.820103,0.572216,-3.61998e-06,0,-0.572216,0.820103,3.62e-06,0,-0.143054,0.205026,9.05001e-07,1|5.04018e-06,-8.97364e-07,1,0,-0.572219,0.8201,3.62002e-06,0,-0.8201,-0.572219,3.61996e-06,0,-0.143054,0.205026,9.05001e-07,1|5.04018e-06,-8.97364e-07,1,0,-0.572219,0.8201,3.62002e-06,0,-0.8201,-0.572219,3.61996e-06,0,-0.348079,0.0619708,1.80999e-06,1||
-0.812951,0.582332,0,0,-0.582332,-0.812951,0,0,0,0,1,0,0,0,0,1|5.05091e-06,8.34839e-07,1,0,0.812951,-0.582332,-3.61999e-06,0,0.582332,0.812951,-3.61999e-06,0,0,0,0,1|5.05091e-06,8.34839e-07,1,0,0.582329,0.812953,-3.61998e-06,0,-0.812953,0.582329,3.62e-06,0,0,0,0,1|5.05091e-06,8.34839e-07,1,0,0.582329,0.812953,-3.61998e-06,0,-0.812953,0.582329,3.62e-06,0,-0.203238,0.145582,9.05001e-07,1|5.05091e-06,8.34839e-07,1,0,-0.812955,0.582326,3.62002e-06,0,-0.582326,-0.812955,3.61996e-06,0,-0.203238,0.145582,9.05001e-07,1|5.05091e-06,8.34839e-07,1,0,-0.812955,0.582326,3.62002e-06,0,-0.582326,-0.812955,3.61996e-06,0,-0.34882,-0.0576565,1.80999e-06,1||
-0.999831,-0.018404,0,0,0.018404,-0.999831,0,0,0,0,1,0,0,0,0,1|3.55275e-06,3.686e-06,1,0,0.999831,0.018404,-3.61999e-06,0,-0.018404,0.999831,-3.61999e-06,0,0,0,0,1|3.55275e-06,3.686e-06,1,0,-0.0184076,0.99983,-3.61998e-06,0,-0.99983,-0.0184076,3.62e-06,0,0,0,0,1|3.55275e-06,3.686e-06,1,0,-0.0184076,0.99983,-3.61998e-06,0,-0.99983,-0.0184076,3.62e-06,0,-0.249958,-0.00460191,9.05001e-07,1|3.55275e-06,3.686e-06,1,0,-0.99983,-0.0184112,3.62002e-06,0,0.0184112,-0.99983,3.61996e-06,0,-0.249958,-0.00460191,9.05001e-07,1|3.55275e-06,3.686e-06,1,0,-0.99983,-0.0184112,3.62002e-06,0,0.0184112,-0.99983,3.61996e-06,0,-0.245355,-0.25456,1.80999e-06,1||
-0.752857,-0.658184,0,0,0.658184,-0.752857,0,0,0,0,1,0,0,0,0,1|3.42714e-07,5.10795e-06,1,0,0.752857,0.658184,-3.61999e-06,0,-0.658184,0.752857,-3.61999e-06,0,0,0,0,1|3.42714e-07,5.10795e-06,1,0,-0.658187,0.752854,-3.61998e-06,0,-0.752854,-0.658187,3.62e-06,0,0,0,0,1|3.42714e-07,5.10795e-06,1,0,-0.658187,0.752854,-3.61998e-06,0,-0.752854,-0.658187,3.62e-06,0,-0.188214,-0.164547,9.05001e-07,1|3.42714e-07,5.10795e-06,1,0,-0.752852,-0.65819,3.62002e-06,0,0.65819,-0.752852,3.61996e-06,0,-0.188214,-0.164547,9.05001e-07,1|3.42714e-07,5.10795e-06,1,0,-0.752852,-0.65819,3.62002e-06,0,0.65819,-0.752852,3.61996e-06,0,-0.0236662,-0.35276,1.80999e-06,1||
-0.132006,-0.991249,0,0,0.991249,-0.132006,0,0,0,0,1,0,0,0,0,1|-3.11045e-06,4.06617e-06,1,0,0.132006,0.991249,-3.61999e-06,0,-0.991249,0.132006,-3.61999e-06,0,0,0,0,1|-3.11045e-06,4.06617e-06,1,0,-0.991249,0.132002,-3.61998e-06,0,-0.132002,-0.991249,3.62e-06,0,0,0,0,1|-3.11045e-06,4.06617e-06,1,0,-0.991249,0.132002,-3.61998e-06,0,-0.132002,-0.991249,3.62e-06,0,-0.0330006,-0.247812,9.05001e-07,1|-3.11045e-06,4.06617e-06,1,0,-0.131999,-0.99125,3.62002e-06,0,0.99125,-0.131999,3.61996e-06,0,-0.0330006,-0.247812,9.05001e-07,1|-3.11045e-06,4.06617e-06,1,0,-0.131999,-0.99125,3.62002e-06,0,0.99125,-0.131999,3.61996e-06,0,0.214812,-0.280812,1.80999e-06,1||
0.736314,-0.67664,0,0,0.67664,0.736314,0,0,0,0,1,0,0,0,0,1|-5.11488e-06,-2.1602e-07,1,0,-0.736314,0.67664,-3.61999e-06,0,-0.67664,-0.736314,-3.61999e-06,0,0,0,0,1|-5.11488e-06,-2.1602e-07,1,0,-0.676637,-0.736316,-3.61998e-06,0,0.736316,-0.676637,3.62e-06,0,0,0,0,1|-5.11488e-06,-2.1602e-07,1,0,-0.676637,-0.736316,-3.61998e-06,0,0.736316,-0.676637,3.62e-06,0,0.184079,-0.169159,9.05001e-07,1|-5.11488e-06,-2.1602e-07,1,0,0.736319,-0.676634,3.62002e-06,0,0.676634,0.736319,3.61996e-06,0,0.184079,-0.169159,9.05001e-07,1|-5.11488e-06,-2.1602e-07,1,0,0.736319,-0.676634,3.62002e-06,0,0.676634,0.736319,3.61996e-06,0,0.353238,0.0149204,1.80999e-06,1||
0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|-3.25314e-06,-3.95294e-06,1,0,-0.995318,-0.0966584,-3.61999e-06,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|-3.25314e-06,-3.95294e-06,1,0,0.096662,-0.995317,-3.61998e-06,0,0.995317,0.096662,3.62e-06,0,0,0,0,1|-3.25314e-06,-3.95294e-06,1,0,0.096662,-0.995317,-3.61998e-06,0,0.995317,0.096662,3.62e-06,0,0.248829,0.0241655,9.05001e-07,1|-3.25314e-06,-3.95294e-06,1,0,0.995317,0.0966656,3.62002e-06,0,-0.0966656,0.995317,3.61996e-06,0,0.248829,0.0241655,9.05001e-07,1|-3.25314e-06,-3.95294e-06,1,0,0.995317,0.0966656,3.62002e-06,0,-0.0966656,0.995317,3.61996e-06,0,0.224663,0.272995,1.80999e-06,1||
